artist,availability,colorIdentity,colors,defense,edhrecRank,edhrecSaltiness,frameVersion,keywords,layout,life,loyalty,manaCost,manaValue,name,number,otherFaceIds,power,printings,rarity,setCode,subtypes,supertypes,toughness,types
Zoltan Boros,"arena, mtgo, paper","G, U","G, U",,4221.0,0.41,2015,,normal,,,{2}{G}{U},4.0,"Volo, Guide to Monsters",238,,3,"AFR, PAFR",rare,AFR,"Human, Wizard",Legendary,2,Creature
Kieran Yanner,"arena, mtgo, paper","B, U","B, U",,4500.0,0.86,2015,,normal,,,{4}{U}{B},6.0,"Xanathar, Guild Kingpin",239,,5,"AFR, PAFR, PRM",mythic,AFR,Beholder,Legendary,6,Creature
Evyn Fong,"arena, mtgo, paper",,,,2508.0,0.09,2015,,normal,,,{1},1.0,Bag of Holding,240,,,"AFR, CLB, HBG, J22, M20, PM20",uncommon,AFR,,,,Artifact
Volkan BaÇµa,"arena, mtgo, paper",,,,4946.0,0.07,2015,,normal,,,{5},5.0,The Deck of Many Things,241,,,"AFR, PAFR, PRM",mythic,AFR,,Legendary,,Artifact
Aaron Miller,"arena, mtgo, paper",,,,4689.0,,2015,Venture into the dungeon,normal,,,{3},3.0,Dungeon Map,242,,,AFR,uncommon,AFR,,,,Artifact
Irina Nordsol,"arena, mtgo, paper",,,,3202.0,0.05,2015,,normal,,,{2},2.0,Eye of Vecna,243,,,"AFR, PAFR, PRM",rare,AFR,,Legendary,,Artifact
Andrew Mar,"arena, mtgo, paper",,,,10880.0,0.13,2015,Venture into the dungeon,normal,,,{1},1.0,Fifty Feet of Rope,244,,,"AFR, PLIST",uncommon,AFR,,,,Artifact
Kari Christensen,"arena, mtgo, paper",,,,9017.0,0.21,2015,Equip,normal,,,{1},1.0,Greataxe,245,,,AFR,common,AFR,Equipment,,,Artifact
Irina Nordsol,"arena, mtgo, paper",,,,7038.0,0.11,2015,Equip,normal,,,{3},3.0,Hand of Vecna,246,,,"AFR, PAFR, PRM",rare,AFR,Equipment,Legendary,,Artifact
Nicholas Gregory,"arena, mtgo, paper",,,,16839.0,0.24,2015,Vigilance,normal,,,{4},4.0,Iron Golem,247,,5,"AFR, HBG",uncommon,AFR,Golem,,3,"Artifact, Creature"
Martina Pilcerova,"arena, mtgo, paper",,,,7828.0,0.17,2015,Equip,normal,,,{1},1.0,Leather Armor,248,,,"AFR, PLIST",common,AFR,Equipment,,,Artifact
Scott Murphy,"arena, mtgo, paper",,,,13153.0,,2015,,normal,,,{2},2.0,Mimic,249,,,"AFR, PLIST",common,AFR,Treasure,,,Artifact
Khurrum,"arena, mtgo, paper",,,,15422.0,,2015,Equip,normal,,,{1},1.0,Spare Dagger,250,,,AFR,common,AFR,Equipment,,,Artifact
Deruchenko Alexander,"arena, mtgo, paper",,,,10911.0,0.1,2015,"Flash, Treasure",normal,,,{1},1.0,Spiked Pit Trap,251,,,"AFR, HBG",common,AFR,,,,Artifact
Dan Scott,"arena, mtgo, paper",,,,3538.0,0.08,2015,Treasure,normal,,,{3},3.0,Treasure Chest,252,,,"AFR, PAFR, PRM",rare,AFR,,,,Artifact
Johannes Voss,"arena, mtgo, paper",W,,,4217.0,0.05,2015,,normal,,,,0.0,Cave of the Frost Dragon,253,,,"AFR, PAFR",rare,AFR,,,,Land
Johannes Voss,"arena, mtgo, paper",R,,,2068.0,0.09,2015,,normal,,,,0.0,Den of the Bugbear,254,,,"AFR, PAFR",rare,AFR,,,,Land
Kasia 'Kafis' ZieliÅ„ska,"arena, mtgo, paper",,,,5501.0,0.08,2015,Venture into the dungeon,normal,,,,0.0,Dungeon Descent,255,,,"AFR, PAFR",rare,AFR,,,,Land
Kasia 'Kafis' ZieliÅ„ska,arena,,,,,,2015,Venture into the dungeon,normal,,,,0.0,A-Dungeon Descent,A-255,,,AFR,rare,AFR,,,,Land
Johannes Voss,"arena, mtgo, paper",U,,,3118.0,0.14,2015,,normal,,,,0.0,Hall of Storm Giants,257,,,"AFR, PAFR",rare,AFR,,,,Land
Johannes Voss,"arena, mtgo, paper",B,,,4453.0,0.09,2015,,normal,,,,0.0,Hive of the Eye Tyrant,258,,,"AFR, PAFR",rare,AFR,,,,Land
Johannes Voss,"arena, mtgo, paper",G,,,2040.0,0.09,2015,,normal,,,,0.0,Lair of the Hydra,259,,,"AFR, PAFR",rare,AFR,,,,Land
Cliff Childs,"arena, mtgo, paper",,,,2268.0,0.08,2015,,normal,,,,0.0,Temple of the Dragon Queen,260,,,AFR,uncommon,AFR,,,,Land
Johannes Voss,"arena, mtgo, paper",,,,544.0,0.15,2015,Treasure,normal,,,,0.0,Treasure Vault,261,,,"AFR, PAFR",rare,AFR,,,,"Artifact, Land"
Matt Stewart,arena,W,W,,972.0,0.21,2015,"Constellation, Flying, Lifelink",normal,,,{2}{W}{W},4.0,Archon of Sun's Grace,3,,3,"AJMP, CMM, J22, PRM, PTHB, THB, WOC",rare,AJMP,Archon,,4,Creature
Willian Murai,arena,W,W,,1679.0,0.23,2015,,normal,,,{2}{W},3.0,Banishing Light,4,,,"AJMP, C15, CM2, F14, JOU, KHC, LTC, PRM, SCD, THB, TSR, ZNC",uncommon,AJMP,,,,Enchantment
Colin Boyer,arena,U,U,,3321.0,0.4,2015,,normal,,,{X}{U}{U}{U},3.0,"Gadwick, the Wizened",48,,3,"AJMP, ELD, PELD",rare,AJMP,"Human, Wizard",Legendary,3,Creature
Aleksi Briclot,arena,B,B,,6797.0,0.09,2015,Flying,normal,,,{4}{B}{B},6.0,Carnifex Demon,57,,6,"AJMP, SOM",rare,AJMP,"Phyrexian, Demon",,6,Creature
Eric Deschamps,arena,U,U,,16696.0,,2015,Mill,normal,,,{3}{U}{U},5.0,Weight of Memory,74,,,"AJMP, DOM",uncommon,AJMP,,,,Sorcery
Lake Hurwitz,arena,B,B,,9982.0,,2015,,normal,,,{4}{B},5.0,Bond of Revival,80,,,"AJMP, WAR",uncommon,AJMP,,,,Sorcery
Dmitry Burmak,arena,B,B,,4655.0,0.31,2015,,normal,,,{2}{B},3.0,Audacious Thief,84,,2,"AJMP, M20",common,AJMP,"Human, Rogue",,2,Creature
John Avon,arena,R,R,,15176.0,0.24,2015,"Haste, Trample",normal,,,{X}{R},1.0,Lightning Serpent,88,,2,"AJMP, CSP",rare,AJMP,"Elemental, Serpent",,1,Creature
Matt Stewart,arena,R,R,,2976.0,0.21,2015,,normal,,,{3}{R},4.0,Fanatic of Mogis,121,,4,"AJMP, THS",uncommon,AJMP,"Minotaur, Shaman",,2,Creature
John Thacker,arena,B,B,,927.0,0.15,2015,"Escape, Scry",normal,,,{2}{B},3.0,Woe Strider,123,,3,"AJMP, CLB, NCC, PRM, PTHB, THB",rare,AJMP,Horror,,2,Creature
David Palumbo,arena,R,R,,9949.0,,2015,,normal,,,{1}{R},2.0,Goblin Oriflamme,130,,,"AJMP, J22, MB1, MH1",uncommon,AJMP,,,,Enchantment
Eric Velhagen,arena,R,R,,11620.0,0.04,2015,,normal,,,{1}{R},2.0,Scorching Dragonfire,139,,,"AJMP, ELD, J22, M21",common,AJMP,,,,Instant
Adam Paquette,arena,R,R,,4478.0,,2015,,normal,,,{1}{R},2.0,Lightning Strike,152,,,"AJMP, DMU, GN2, M15, M19, SLD, THS, XLN",uncommon,AJMP,,,,Instant
Matt Stewart,arena,G,G,,3094.0,0.16,2015,Proliferate,normal,,,{1}{G},2.0,Pollenbright Druid,173,,1,"AJMP, CMM, WAR",common,AJMP,"Elf, Druid",,1,Creature
Greg Opalinski,arena,G,G,,10338.0,0.15,2015,,normal,,,{1}{G},2.0,Dryad Greenseeker,178,,1,"AJMP, M19",uncommon,AJMP,Dryad,,3,Creature
Magali Villeneuve,arena,W,W,,6163.0,0.14,2015,"Flying, Vigilance",normal,,,{4}{W}{W},6.0,Serra's Guardian,310,,5,"AJMP, M19, M20",rare,AJMP,Angel,,5,Creature
Min Yum,"mtgo, paper",W,W,,5665.0,0.11,2015,"Embalm, Flying",normal,,,{3}{W}{W},5.0,Angel of Sanctions,1,,3,"AKH, AKR, C19, PAKH",mythic,AKH,Angel,,4,Creature
Victor Adame Minguez,"mtgo, paper",W,W,,259.0,0.79,2015,,normal,,,{3}{W},4.0,Anointed Procession,2,,,"AKH, AKR, PAKH, PLIST",rare,AKH,,,,Enchantment
Lake Hurwitz,"mtgo, paper",W,W,,7835.0,0.14,2015,Embalm,normal,,,{1}{W},2.0,Anointer Priest,3,,1,"AKH, AKR, PLIST",common,AKH,"Human, Cleric",,3,Creature
Noah Bradley,"mtgo, paper",W,W,,726.0,1.08,2015,,normal,,,{6}{W},7.0,Approach of the Second Sun,4,,,"AKH, AKR, MB1, PAKH, PRM, Q06, SLD, STA",rare,AKH,,,,Sorcery
Eric Deschamps,"mtgo, paper",W,W,,438.0,1.15,2015,"Flash, Flying",normal,,,{2}{W},3.0,Aven Mindcensor,5,,2,"AKH, AKR, CLB, FUT, MP2, PAKH, PLG21, TSR",rare,AKH,"Bird, Wizard",,1,Creature
Shreya Shetty,"mtgo, paper",W,W,,10014.0,0.43,2015,,normal,,,{1}{W},2.0,Binding Mummy,6,,2,"AKH, AKR",common,AKH,Zombie,,2,Creature
Kieran Yanner,"mtgo, paper",W,W,,8250.0,0.05,2015,Enchant,normal,,,{W},1.0,Cartouche of Solidarity,7,,,"AKH, AKR, MB1",common,AKH,"Aura, Cartouche",,,Enchantment
Magali Villeneuve,"mtgo, paper",W,W,,4049.0,0.13,2015,"Cycling, Flash",normal,,,{3}{W},4.0,Cast Out,8,,,"AKH, AKR, C20, CMM, MB1",uncommon,AKH,,,,Enchantment
Eric Deschamps,"mtgo, paper",W,W,,17953.0,0.15,2015,Enchant,normal,,,{1}{W},2.0,Compulsory Rest,9,,,"AKH, AKR",common,AKH,Aura,,,Enchantment
Zoltan Boros,"mtgo, paper",W,W,,16930.0,,2015,Exert,normal,,,{2}{W},3.0,Devoted Crop-Mate,10,,3,AKH,uncommon,AKH,"Human, Warrior",,2,Creature
Kieran Yanner,"mtgo, paper",W,W,,10666.0,,2015,Cycling,normal,,,{W},1.0,Djeru's Resolve,11,,,"AKH, AKR, MB1",common,AKH,,,,Instant
Anthony Palumbo,"mtgo, paper",W,W,,18734.0,,2015,,normal,,,{W},1.0,Fan Bearer,12,,1,"AKH, AKR, GNT",common,AKH,Zombie,,2,Creature
Steve Argyle,"mtgo, paper",W,W,,4475.0,0.02,2015,Cycling,normal,,,{2}{W},3.0,Forsake the Worldly,13,,,"AKH, AKR, MB1",common,AKH,,,,Instant
Izzy,"mtgo, paper",W,W,,6677.0,0.38,2015,,normal,,3,{1}{W}{W},3.0,Gideon of the Trials,14,,,"AKH, AKR, PAKH, PRM, PS17, PS18",mythic,AKH,Gideon,Legendary,,Planeswalker
Daarken,"mtgo, paper",W,W,,14207.0,0.55,2015,,normal,,,{2}{W}{W},4.0,Gideon's Intervention,15,,,"AKH, AKR, PAKH",rare,AKH,,,,Enchantment
David Palumbo,"mtgo, paper",W,W,,16614.0,,2015,Exert,normal,,,{1}{W},2.0,Glory-Bound Initiate,16,,3,"AKH, AKR, PAKH",rare,AKH,"Human, Warrior",,1,Creature
Jason Rainville,"mtgo, paper",W,W,,21339.0,,2015,Exert,normal,,,{1}{W},2.0,Gust Walker,17,,2,"AKH, AKR, MB1",common,AKH,"Human, Wizard",,2,Creature
Kev Walker,"mtgo, paper",W,W,,20319.0,0.16,2015,,normal,,,{1}{W},2.0,Impeccable Timing,18,,,"AKH, AKR, J22, KLD, KLR",common,AKH,,,,Instant
Nils Hamm,"mtgo, paper",W,W,,18737.0,0.05,2015,,normal,,,{1}{W},2.0,In Oketra's Name,19,,,"AKH, AKR",common,AKH,,,,Instant
Sidharth Chaturvedi,"mtgo, paper",W,W,,15225.0,0.04,2015,,normal,,,{1}{W},2.0,Mighty Leap,20,,,"AKH, AKR, DDF, DDG, DDO, GN2, M11, M12, M19, MM2, OGW, ORI",common,AKH,,,,Instant
Chase Stone,"mtgo, paper",W,W,,5520.0,0.18,2015,"Double strike, Indestructible",normal,,,{3}{W},4.0,Oketra the True,21,,3,"AKH, AKR, MP2, PAKH",mythic,AKH,God,Legendary,6,Creature
Lake Hurwitz,"mtgo, paper",W,W,,15112.0,0.05,2015,"Cycling, Embalm, Flying",normal,,,{3}{W}{W},5.0,Oketra's Attendant,22,,3,"AKH, AKR",uncommon,AKH,"Bird, Soldier",,3,Creature
Ryan Alexander Lee,"mtgo, paper",W,W,,19519.0,0.53,2015,,normal,,,{4}{W},5.0,Protection of the Hekma,23,,,"AKH, AKR",uncommon,AKH,,,,Enchantment
Filip Burburan,"mtgo, paper",W,W,,2622.0,0.03,2015,,normal,,,{3}{W}{W},5.0,Regal Caracal,24,,3,"AKH, AKR, J22, PAKH, PLIST, SLD",rare,AKH,Cat,,3,Creature
Dan Scott,"mtgo, paper",W,W,,22152.0,,2015,Exert,normal,,,{2}{W},3.0,Rhet-Crop Spearmaster,26,,3,"AKH, MB1",common,AKH,"Human, Warrior",,1,Creature
Zezhou Chen,"mtgo, paper",W,W,,6228.0,,2015,"Embalm, Lifelink",normal,,,{W},1.0,Sacred Cat,27,,1,"AKH, AKR, MB1",common,AKH,Cat,,1,Creature
Winona Nelson,"mtgo, paper",W,W,,16911.0,,2015,"Flying, Indestructible",normal,,,{5}{W}{W},7.0,Seraph of the Suns,28,,4,"AKH, MB1",uncommon,AKH,Angel,,4,Creature
Ryan Pancoast,"mtgo, paper",W,W,,19817.0,,2015,,normal,,,{3}{W},4.0,Sparring Mummy,29,,3,"AKH, BBD, MB1",common,AKH,Zombie,,3,Creature
Nils Hamm,"mtgo, paper",W,W,,23925.0,,2015,,normal,,,{4}{W},5.0,Supply Caravan,30,,3,"AKH, AKR",common,AKH,Camel,,5,Creature
Raoul Vitale,"mtgo, paper",W,W,,18802.0,,2015,"Exert, Flying",normal,,,{3}{W},4.0,Tah-Crop Elite,31,,2,"AKH, AKR",common,AKH,"Bird, Warrior",,2,Creature
Volkan BaÇµa,"mtgo, paper",W,W,,22299.0,0.63,2015,,normal,,,{2}{W},3.0,Those Who Serve,32,,2,"AKH, AKR",common,AKH,Zombie,,4,Creature
Daarken,"mtgo, paper",W,W,,18420.0,0.05,2015,,normal,,,{W},1.0,Time to Reflect,33,,,AKH,uncommon,AKH,,,,Instant
Daniel Ljunggren,"mtgo, paper",W,W,,22238.0,,2015,,normal,,,{2}{W},3.0,Trial of Solidarity,34,,,"AKH, AKR",uncommon,AKH,,,,Enchantment
Izzy,"mtgo, paper",W,W,,18939.0,0.35,2015,Embalm,normal,,,{1}{W},2.0,Trueheart Duelist,35,,2,"AKH, PAKH, PRM",uncommon,AKH,"Human, Warrior",,2,Creature
Greg Opalinski,"mtgo, paper",W,W,,20858.0,0.21,2015,"Embalm, Vigilance",normal,,,{2}{W},3.0,Unwavering Initiate,36,,3,"AKH, MB1",common,AKH,"Human, Warrior",,2,Creature
Deruchenko Alexander,"mtgo, paper",W,W,,17021.0,0.27,2015,Flash,normal,,,{2}{W},3.0,Vizier of Deferment,37,,2,"AKH, AKR",uncommon,AKH,"Human, Cleric",,2,Creature
Randy Gallegos,"mtgo, paper",W,W,,7585.0,0.17,2015,,normal,,,{1}{W},2.0,Vizier of Remedies,38,,2,"AKH, AKR",uncommon,AKH,"Human, Cleric",,1,Creature
Chris Rahn,"mtgo, paper",W,W,,15235.0,,2015,"Cycling, Flying, Vigilance",normal,,,{5}{W},6.0,Winged Shepherd,39,,3,"AKH, J21, MB1",common,AKH,Angel,,3,Creature
James Paick,"mtgo, paper",U,U,,13008.0,0.29,2015,,normal,,,{1}{U}{U},3.0,Ancient Crab,40,,1,"AKH, AKR, OGW",common,AKH,Crab,,5,Creature
Svetlin Velinov,"mtgo, paper",U,U,,18795.0,,2015,Flying,normal,,,{4}{U}{U},6.0,Angler Drake,41,,4,"AKH, GN3",uncommon,AKH,Drake,,4,Creature
Kieran Yanner,"mtgo, paper",U,U,,8786.0,,2015,Enchant,normal,,,{1}{U},2.0,Cartouche of Knowledge,45,,,"AKH, AKR, MB1",common,AKH,"Aura, Cartouche",,,Enchantment
John Stanko,"mtgo, paper",U,U,,9764.0,0.08,2015,Cycling,normal,,,{1}{U},2.0,Censor,46,,,"AKH, AKR",uncommon,AKH,,,,Instant
Lucas Graciano,"mtgo, paper",U,U,,12637.0,0.15,2015,"Cycling, Mill",normal,,,{1}{U},2.0,Compelling Argument,47,,,"AKH, AKR, MB1",common,AKH,,,,Sorcery
Lius Lasahido,"mtgo, paper",U,U,,13301.0,0.29,2015,,normal,,,{5}{U}{U},7.0,Cryptic Serpent,48,,6,"AKH, AKR, CMM, GN2, J22, JMP",uncommon,AKH,Serpent,,5,Creature
Vincent Proce,"mtgo, paper",U,U,,20419.0,0.06,2015,,normal,,,{3}{U},4.0,Decision Paralysis,50,,,"AKH, GN2, MB1",common,AKH,,,,Instant
John Severin Brassell,"mtgo, paper",U,U,,4883.0,0.07,2015,,normal,,,{2}{U},3.0,Drake Haven,51,,,"AKH, AKR, C20, PAKH",rare,AKH,,,,Enchantment
Josh Hass,"mtgo, paper",U,U,,3461.0,0.25,2015,,normal,,,{1}{U},2.0,Essence Scatter,52,,,"AKH, AKR, DDT, DMU, DPA, IKO, M10, M13, M14, M19, MB1, PS11",common,AKH,,,,Instant
Jung Park,"mtgo, paper",U,U,,18894.0,0.11,2015,Cycling,normal,,,{4}{U}{U},6.0,Floodwaters,53,,,"AKH, AKR",common,AKH,,,,Sorcery
Mike Bierek,"mtgo, paper",U,U,,13657.0,0.14,2015,,normal,,,{2}{U},3.0,Galestrike,54,,,"AKH, CMR, GN2",uncommon,AKH,,,,Instant
Chris Rahn,"mtgo, paper",U,U,,12694.0,0.24,2015,"Embalm, Flying",normal,,,{3}{U}{U},5.0,Glyph Keeper,55,,5,"AKH, PAKH",rare,AKH,Sphinx,,3,Creature
James Ryman,"mtgo, paper",U,U,,22934.0,,2015,,normal,,,{2}{U},3.0,Hekma Sentinels,56,,2,"AKH, AKR",common,AKH,"Human, Cleric",,3,Creature
Raoul Vitale,"mtgo, paper",U,U,,6102.0,,2015,Cycling,normal,,,{3}{U},4.0,Hieroglyphic Illumination,57,,,"AKH, AKR, C20, J22, MB1",common,AKH,,,,Instant
Deruchenko Alexander,"mtgo, paper",U,U,,21574.0,,2015,Enchant,normal,,,{2}{U},3.0,Illusory Wrappings,58,,,AKH,common,AKH,Aura,,,Enchantment
Chase Stone,"mtgo, paper",U,U,,6262.0,0.13,2015,"Flying, Indestructible",normal,,,{2}{U},3.0,Kefnet the Mindful,59,,5,"AKH, AKR, MP2, PAKH",mythic,AKH,God,Legendary,5,Creature
Yeong-Hao Han,"mtgo, paper",U,U,,19996.0,,2015,Embalm,normal,,,{1}{U},2.0,Labyrinth Guardian,60,,2,"AKH, AKR, MB1",uncommon,AKH,"Illusion, Warrior",,3,Creature
Chris Rallis,"mtgo, paper",U,U,,10689.0,0.24,2015,"Cycling, Enchant",normal,,,{5}{U}{U},7.0,Lay Claim,61,,,"AKH, AKR, J22, MB1",uncommon,AKH,Aura,,,Enchantment
Deruchenko Alexander,"mtgo, paper",U,U,,21019.0,,2015,Surveil,normal,,,{3}{U},4.0,Naga Oracle,62,,2,"AKH, AKR",common,AKH,"Naga, Cleric",,4,Creature
Darek Zabrocki,"mtgo, paper",U,U,,7273.0,0.18,2015,,normal,,,{5}{U},6.0,New Perspectives,63,,,"AKH, AKR, C20, PAKH",rare,AKH,,,,Enchantment
Tyler Jacobson,"mtgo, paper",U,U,,3178.0,0.13,2015,,normal,,,{X}{U}{U},2.0,Open into Wonder,64,,,"AKH, ZNC",uncommon,AKH,,,,Sorcery
Christopher Moeller,"mtgo, paper",U,U,,11523.0,,2015,Cycling,normal,,,{5}{U},6.0,River Serpent,66,,5,"AKH, MB1",common,AKH,Serpent,,5,Creature
Noah Bradley,"mtgo, paper",U,U,,14829.0,,2015,,normal,,,{3}{U},4.0,Sacred Excavation,67,,,AKH,uncommon,AKH,,,,Sorcery
Bastien L. Deharme,"mtgo, paper",U,U,,15064.0,0.07,2015,,normal,,,{2}{U},3.0,Scribe of the Mindful,68,,2,AKH,common,AKH,"Human, Cleric",,2,Creature
Magali Villeneuve,"mtgo, paper",U,U,,20325.0,,2015,,normal,,,{1}{U},2.0,Seeker of Insight,69,,1,"AKH, AKR",common,AKH,"Human, Wizard",,3,Creature
Tony Foti,"mtgo, paper",U,U,,18005.0,0.24,2015,"Cycling, Flying",normal,,,{4}{U},5.0,Shimmerscale Drake,70,,3,"AKH, AKR, MB1",common,AKH,Drake,,4,Creature
Zezhou Chen,"mtgo, paper",U,U,,1259.0,0.17,2015,,normal,,,{U},1.0,Slither Blade,71,,1,"AKH, AKR, MB1, ZNC",common,AKH,"Naga, Rogue",,2,Creature
Victor Adame Minguez,"mtgo, paper",U,U,,21983.0,0.1,2015,Embalm,normal,,,{1}{U},2.0,Tah-Crop Skirmisher,72,,2,AKH,common,AKH,"Naga, Warrior",,1,Creature
Viktor Titov,"mtgo, paper",U,U,,12147.0,0.05,2015,,normal,,,{3}{U},4.0,Trial of Knowledge,73,,,"AKH, AKR",uncommon,AKH,,,,Enchantment
Ryan Yee,"mtgo, paper",U,U,,3482.0,0.13,2015,Embalm,normal,,,{2}{U}{U},4.0,Vizier of Many Faces,74,,0,"AKH, AKR, PAKH",rare,AKH,"Shapeshifter, Cleric",,0,Creature
Josu Hernaiz,"mtgo, paper",U,U,,2345.0,0.17,2015,Cycling,normal,,,{2}{U},3.0,Vizier of Tumbling Sands,75,,1,"AKH, AKR, C20, CMM",uncommon,AKH,"Human, Cleric",,3,Creature
Mathias Kollros,"mtgo, paper",U,U,,3564.0,0.15,2015,Mill,normal,,,{1}{U},2.0,Winds of Rebuke,76,,,"AKH, AKR",common,AKH,,,,Instant
Jason Kang,"mtgo, paper",U,U,,21071.0,,2015,Flying,normal,,,{3}{U},4.0,Zenith Seeker,77,,2,AKH,uncommon,AKH,"Bird, Wizard",,2,Creature
Seb McKinnon,"mtgo, paper",B,B,,1641.0,0.45,2015,"Cycling, Flying",normal,,,{3}{B}{B},5.0,Archfiend of Ifnir,78,,5,"AKH, AKR, PAKH, PRM",rare,AKH,Demon,,4,Creature
Seb McKinnon,"mtgo, paper",B,B,,14072.0,,2015,Lifelink,normal,,,{2}{B},3.0,Baleful Ammit,79,,4,"AKH, AKR, MB1",uncommon,AKH,"Crocodile, Demon",,3,Creature
Nils Hamm,"mtgo, paper",B,B,,15968.0,0.25,2015,Flying,normal,,,{2}{B},3.0,Blighted Bat,80,,2,"AKH, AKR, JMP, MB1",common,AKH,"Zombie, Bat",,1,Creature
Chase Stone,"mtgo, paper",B,B,,7157.0,,2015,"Indestructible, Menace, Scry",normal,,,{2}{B},3.0,Bontu the Glorified,82,,4,"AKH, AKR, MP2, PAKH",mythic,AKH,God,Legendary,6,Creature
Kieran Yanner,"mtgo, paper",B,B,,12481.0,0.07,2015,Enchant,normal,,,{2}{B},3.0,Cartouche of Ambition,83,,,"AKH, AKR",common,AKH,"Aura, Cartouche",,,Enchantment
Kieran Yanner,"mtgo, paper",B,B,,5738.0,0.6,2015,Enchant,normal,,,{5}{B}{B},7.0,Cruel Reality,84,,,"AKH, AKR, PAKH",mythic,AKH,"Aura, Curse",,,Enchantment
David Palumbo,"mtgo, paper",B,B,,14943.0,,2015,Menace,normal,,,{2}{B},3.0,Cursed Minotaur,85,,3,"AKH, MB1",common,AKH,"Zombie, Minotaur",,2,Creature
Mark Behm,"mtgo, paper",B,B,,22185.0,0.25,2015,,normal,,,{2}{B},3.0,Dispossess,86,,,"AKH, AKR, PAKH",rare,AKH,,,,Sorcery
Tony Foti,"mtgo, paper",B,B,,4117.0,0.01,2015,,normal,,,{1}{B},2.0,Doomed Dissenter,87,,1,"AKH, AKR, BBD, DBL, GN3, J22, M19, MB1, VOW",common,AKH,Human,,1,Creature
Josh Hass,"mtgo, paper",B,B,,12784.0,0.05,2015,,normal,,,{B},1.0,Dread Wanderer,88,,2,"AKH, AKR, PAKH",rare,AKH,"Zombie, Jackal",,1,Creature
Grzegorz Rutkowski,"mtgo, paper",B,B,,19018.0,0.14,2015,,normal,,,{1}{B},2.0,Dune Beetle,89,,1,"AKH, AKR, J22, MB1",common,AKH,Insect,,4,Creature
Raoul Vitale,"mtgo, paper",B,B,,4602.0,0.14,2015,,normal,,,{2}{B},3.0,Faith of the Devoted,90,,,"AKH, C19, HA4",uncommon,AKH,,,,Enchantment
Christopher Burdett,"mtgo, paper",B,B,,9730.0,0.07,2015,,normal,,,{B},1.0,Festering Mummy,91,,1,"AKH, AKR",common,AKH,Zombie,,1,Creature
Sidharth Chaturvedi,"mtgo, paper",B,B,,18078.0,,2015,,normal,,,{4}{B},5.0,Final Reward,92,,,"AKH, AKR",common,AKH,,,,Instant
Christine Choi,"mtgo, paper",B,B,,23879.0,0.05,2015,,normal,,,{3}{B},4.0,Grim Strider,94,,6,"AKH, PLIST",uncommon,AKH,Horror,,6,Creature
Karl Kopinski,"mtgo, paper",B,B,,18665.0,0.24,2015,,normal,,,{1}{B},2.0,Lay Bare the Heart,96,,,AKH,uncommon,AKH,,,,Sorcery
Chris Rallis,"mtgo, paper",B,B,,1394.0,0.29,2015,Mill,normal,,5,{3}{B}{B},5.0,"Liliana, Death's Majesty",97,,,"AKH, AKR, J22, MB1, MIC, PAKH, PS17, SLD",mythic,AKH,Liliana,Legendary,,Planeswalker
Kieran Yanner,"mtgo, paper",B,B,,2520.0,0.06,2015,,normal,,,{3}{B}{B},5.0,Liliana's Mastery,98,,,"AKH, AKR, GN2, GN3, GNT, J22, MIC, PAKH, SCD",rare,AKH,,,,Enchantment
Grzegorz Rutkowski,"mtgo, paper",B,B,,1405.0,0.16,2015,,normal,,,{2}{B},3.0,Lord of the Accursed,99,,2,"AKH, AKR, GN2, GN3, GNT, J22, MB1, MIC, SCD",uncommon,AKH,Zombie,,3,Creature
E. M. Gist,"mtgo, paper",B,B,,9208.0,0.17,2015,,normal,,,{1}{B},2.0,Miasmic Mummy,100,,2,"AKH, AKR, JMP, MB1, XANA",common,AKH,"Zombie, Jackal",,2,Creature
Jason A. Engle,"mtgo, paper",B,B,,3903.0,0.21,2015,,normal,,,{2}{B},3.0,Nest of Scarabs,101,,,"AKH, AKR",uncommon,AKH,,,,Enchantment
Adrian Majkrzak,"mtgo, paper",B,B,,7166.0,0.14,2015,,normal,,,{2}{B},3.0,Painful Lesson,102,,,"AKH, BBD, MB1, PLIST",common,AKH,,,,Sorcery
Volkan BaÇµa,"mtgo, paper",B,B,,18560.0,,2015,,normal,,,{3}{B},4.0,Pitiless Vizier,103,,4,"AKH, AKR",common,AKH,"Minotaur, Cleric",,2,Creature
Izzy,"mtgo, paper",B,B,,2555.0,0.16,2015,Menace,normal,,,{2}{B},3.0,Plague Belcher,104,,5,"AKH, PAKH",rare,AKH,"Zombie, Beast",,4,Creature
Sara Winters,"mtgo, paper",B,B,,12442.0,0.31,2015,,normal,,,{B},1.0,Ruthless Sniper,105,,1,"AKH, AKR",uncommon,AKH,"Human, Archer",,2,Creature
Tony Foti,"mtgo, paper",B,B,,13292.0,0.56,2015,Cycling,normal,,,{B},1.0,Scarab Feast,106,,,"AKH, AKR, MB1",common,AKH,,,,Instant
Darek Zabrocki,"mtgo, paper",B,B,,5124.0,0.13,2015,,normal,,,{1}{B},2.0,Shadow of the Grave,107,,,"AKH, AKR, PAKH",rare,AKH,,,,Instant
Mike Burns,"mtgo, paper",B,B,,11943.0,0.31,2015,,normal,,,{3}{B},4.0,Soulstinger,108,,4,"AKH, AKR",common,AKH,"Scorpion, Demon",,5,Creature
